0,1,2,3
1709372958613513,1709372958613151,1709372958614015,1709372958613760
1709372958616620,1709372958708712,1709372958709365,1709372958710576
1709372958606352,1709372958659613,1709372958659889,1709372958660807
1709372958608793,1709372958610127,1709372958610341,1709372958611066
1709372958609294,1709372958610035,1709372958609661,1709372958611193
1709372958606842,1709372958607140,1709372958607667,1709372958607405
1709372958606195,1709372958606821,1709372958607056,1709372958606511
1709372958607386,1709372958607683,1709372958608252,1709372958607998
1709372958606052,1709372958605773,1709372958606573,1709372958606306
1709372958607567,1709372958607327,1709372958607834,1709372958606988
1709372958608289,1709372958608543,1709372958607708,1709372958608034
1709372958606670,1709372958606376,1709372958607055,1709372958607192
1709372958607449,1709372958608252,1709372958608003,1709372958607749
1709372958607404,1709372958607709,1709372958608240,1709372958607979
1709372958607303,1709372958606961,1709372958613157,1709372958613304
1709372958623371,1709372958609418,1709372958623069,1709372958609062
1709372958606411,1709372958607287,1709372958606755,1709372958607017
1709372958608989,1709372958608623,1709372958609502,1709372958609244
1709372958624228,1709372958609382,1709372958623751,1709372958609875
1709372958607471,1709372958607143,1709372958608016,1709372958607737
1709372958647240,1709372958613021,1709372958613682,1709372958613400
1709372958605931,1709372958606235,1709372958606492,1709372958606791
1709372958637374,1709372958618732,1709372958625737,1709372958619058
1709372958609000,1709372958609276,1709372958608400,1709372958608761
1709372958610086,1709372958610661,1709372958610375,1709372958609734
1709372958611972,1709372958612471,1709372958612212,1709372958611660
1709372958613283,1709372958606924,1709372958613056,1709372958612733
1709372958606595,1709372958606207,1709372958607068,1709372958606804
1709372958607047,1709372958606727,1709372958607567,1709372958607294
1709372958606128,1709372958605791,1709372958606387,1709372958606644
1709372958607747,1709372958608728,1709372958608465,1709372958608196
1709372958607612,1709372958607212,1709372958608137,1709372958607875
1709372958607755,1709372958607426,1709372958608270,1709372958607992
1709372958607600,1709372958607256,1709372958608105,1709372958607860
1709372958607761,1709372958607309,1709372958608220,1709372958607963
1709372958607662,1709372958607321,1709372958608173,1709372958607915
1709372958607002,1709372958606401,1709372958607271,1709372958606755
1709372958606637,1709372958606321,1709372958607159,1709372958606891
1709372958606919,1709372958607053,1709372958607910,1709372958607085
1709372958607148,1709372958606792,1709372958607659,1709372958607410
1709372958607509,1709372958607211,1709372958608008,1709372958607751
1709372958607610,1709372958607291,1709372958608115,1709372958607853
1709372958608438,1709372958607923,1709372958607423,1709372958608166
1709372958606263,1709372958606836,1709372958607087,1709372958606590
1709372958607592,1709372958607297,1709372958608141,1709372958607826
1709372958607231,1709372958606398,1709372958606974,1709372958606728
1709372958658955,1709372958628853,1709372958620017,1709372958619579
1709372958609434,1709372958608399,1709372958608642,1709372958608068
1709372958608404,1709372958609215,1709372958608956,1709372958608710
1709372958610461,1709372958611039,1709372958610771,1709372958611515
1709372958609835,1709372958610171,1709372958610461,1709372958609452
1709372958608381,1709372958639566,1709372958608920,1709372958639219
1709372958608699,1709372958607874,1709372958608431,1709372958608171
1709372958607579,1709372958607225,1709372958607828,1709372958608146
1709372958609724,1709372958608847,1709372958609213,1709372958609459
1709372958606648,1709372958606292,1709372958606904,1709372958607157
1709372958607363,1709372958607059,1709372958607879,1709372958607617
1709372958607789,1709372958607425,1709372958608308,1709372958608035
1709372958607417,1709372958607069,1709372958607949,1709372958607813
1709372958606348,1709372958606043,1709372958606879,1709372958606615
1709372958614302,1709372958613728,1709372958614575,1709372958614063
1709372958610439,1709372958610134,1709372958611080,1709372958610819
1709372958607979,1709372958608495,1709372958607667,1709372958608242
1709372958606578,1709372958606274,1709372958607079,1709372958606836
1709372958607380,1709372958607043,1709372958607877,1709372958607623
1709372958607748,1709372958607380,1709372958608288,1709372958608023
1709372958608601,1709372958608190,1709372958607847,1709372958608437
1709372958609572,1709372958609276,1709372958609000,1709372958608562
1709372958608078,1709372958607816,1709372958607554,1709372958607204
1709372958608290,1709372958609219,1709372958608954,1709372958608704
1709372958609277,1709372958607195,1709372958609634,1709372958609087
1709372958606698,1709372958606401,1709372958606966,1709372958607230
1709372958607328,1709372958607136,1709372958607939,1709372958607684
1709372958606681,1709372958606368,1709372958606950,1709372958607221
1709372958607947,1709372958607368,1709372958608583,1709372958608295
1709372958608054,1709372958607673,1709372958608583,1709372958608310
1709372958607207,1709372958606955,1709372958607795,1709372958607535
1709372958607636,1709372958607294,1709372958608276,1709372958607899
1709372958606206,1709372958605909,1709372958606909,1709372958606587
1709372958606737,1709372958606423,1709372958607277,1709372958607009
1709372958606963,1709372958657056,1709372958639013,1709372958657316
1709372958606753,1709372958607802,1709372958607567,1709372958608048
1709372958628000,1709372958619785,1709372958619170,1709372958619502
1709372958607231,1709372958606930,1709372958607745,1709372958607486
1709372958658367,1709372958685113,1709372958608460,1709372958608115
1709372958635700,1709372958635901,1709372958635385,1709372958634842
1709372958608341,1709372958631167,1709372958608688,1709372958625286
1709372958606689,1709372958606398,1709372958606942,1709372958607212
1709372958606310,1709372958606022,1709372958606569,1709372958606858
1709372958607554,1709372958607752,1709372958608040,1709372958607431
1709372958607224,1709372958607757,1709372958607502,1709372958606934
1709372958607438,1709372958608283,1709372958608017,1709372958607752
1709372958609939,1709372958609735,1709372958609426,1709372958610246
1709372958663272,1709372958606401,1709372958641956,1709372958642280
1709372958613520,1709372958606613,1709372958606974,1709372958606963
1709372958606569,1709372958606008,1709372958606840,1709372958606344
1709372958607542,1709372958607256,1709372958608052,1709372958607789
1709372958657393,1709372958657133,1709372958656882,1709372958656466
1709372958616472,1709372958616765,1709372958616222,1709372958615934
1709372958622080,1709372958621757,1709372958613157,1709372958613481
